Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[disease]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Characteristics[single cell quality]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[input molecule]	Comment[primer]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[single cell identifier]
Sample 18	ERS2544900	SAMEA4724763	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 18	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 18	sequencing assay	ERX2648910	SIN2772A18-40352345_1.fastq.gz	SIN2772A18-40352345_1.fastq.gz	ERR2632416	ERR2632416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632416/ERR2632416_1.fastq.gz	220	111	memory B cell	cell 18
Sample 18	ERS2544900	SAMEA4724763	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 18	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 18	sequencing assay	ERX2648910	SIN2772A18-40352345_2.fastq.gz	SIN2772A18-40352345_2.fastq.gz	ERR2632416	ERR2632416	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632416/ERR2632416_2.fastq.gz	220	111	memory B cell	cell 18
Sample 19	ERS2544901	SAMEA4724764	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 19	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 19	sequencing assay	ERX2648911	SIN2772A19-40350340_1.fastq.gz	SIN2772A19-40350340_1.fastq.gz	ERR2632417	ERR2632417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632417/ERR2632417_1.fastq.gz	300	151	memory B cell	cell 19
Sample 19	ERS2544901	SAMEA4724764	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 19	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 19	sequencing assay	ERX2648911	SIN2772A19-40350340_2.fastq.gz	SIN2772A19-40350340_2.fastq.gz	ERR2632417	ERR2632417	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632417/ERR2632417_2.fastq.gz	148	75	memory B cell	cell 19
Sample 20	ERS2544902	SAMEA4724765	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 20	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 20	sequencing assay	ERX2648912	SIN2772A20-40347393_1.fastq.gz	SIN2772A20-40347393_1.fastq.gz	ERR2632418	ERR2632418	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632418/ERR2632418_1.fastq.gz	226	114	memory B cell	cell 20
Sample 20	ERS2544902	SAMEA4724765	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 20	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 20	sequencing assay	ERX2648912	SIN2772A20-40347393_2.fastq.gz	SIN2772A20-40347393_2.fastq.gz	ERR2632418	ERR2632418	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/008/ERR2632418/ERR2632418_2.fastq.gz	226	114	memory B cell	cell 20
Sample 21	ERS2544903	SAMEA4724766	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 21	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 21	sequencing assay	ERX2648913	SIN2772A21-40353347_1.fastq.gz	SIN2772A21-40353347_1.fastq.gz	ERR2632419	ERR2632419	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632419/ERR2632419_1.fastq.gz	302	152	memory B cell	cell 21
Sample 21	ERS2544903	SAMEA4724766	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 21	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 21	sequencing assay	ERX2648913	SIN2772A21-40353347_2.fastq.gz	SIN2772A21-40353347_2.fastq.gz	ERR2632419	ERR2632419	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/009/ERR2632419/ERR2632419_2.fastq.gz	300	151	memory B cell	cell 21
Sample 22	ERS2544904	SAMEA4724767	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 22	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 22	sequencing assay	ERX2648914	SIN2772A22-40351321_1.fastq.gz	SIN2772A22-40351321_1.fastq.gz	ERR2632420	ERR2632420	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632420/ERR2632420_1.fastq.gz	300	151	memory B cell	cell 22
Sample 22	ERS2544904	SAMEA4724767	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 22	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 22	sequencing assay	ERX2648914	SIN2772A22-40351321_2.fastq.gz	SIN2772A22-40351321_2.fastq.gz	ERR2632420	ERR2632420	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/000/ERR2632420/ERR2632420_2.fastq.gz	302	152	memory B cell	cell 22
Sample 23	ERS2544905	SAMEA4724768	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 23	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 23	sequencing assay	ERX2648915	SIN2772A23-40344366_1.fastq.gz	SIN2772A23-40344366_1.fastq.gz	ERR2632421	ERR2632421	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632421/ERR2632421_1.fastq.gz	192	97	memory B cell	cell 23
Sample 23	ERS2544905	SAMEA4724768	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 23	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 23	sequencing assay	ERX2648915	SIN2772A23-40344366_2.fastq.gz	SIN2772A23-40344366_2.fastq.gz	ERR2632421	ERR2632421	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/001/ERR2632421/ERR2632421_2.fastq.gz	192	97	memory B cell	cell 23
Sample 24	ERS2544906	SAMEA4724769	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 24	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 24	sequencing assay	ERX2648916	SIN2772A24-40333855_1.fastq.gz	SIN2772A24-40333855_1.fastq.gz	ERR2632422	ERR2632422	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632422/ERR2632422_1.fastq.gz	298	150	memory B cell	cell 24
Sample 24	ERS2544906	SAMEA4724769	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 24	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 24	sequencing assay	ERX2648916	SIN2772A24-40333855_2.fastq.gz	SIN2772A24-40333855_2.fastq.gz	ERR2632422	ERR2632422	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/002/ERR2632422/ERR2632422_2.fastq.gz	302	152	memory B cell	cell 24
Sample 55	ERS2544907	SAMEA4724770	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 55	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 55	sequencing assay	ERX2648917	SIN2772A55-40337810_1.fastq.gz	SIN2772A55-40337810_1.fastq.gz	ERR2632423	ERR2632423	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632423/ERR2632423_1.fastq.gz	302	152	memory B cell	cell 55
Sample 55	ERS2544907	SAMEA4724770	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 55	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 55	sequencing assay	ERX2648917	SIN2772A55-40337810_2.fastq.gz	SIN2772A55-40337810_2.fastq.gz	ERR2632423	ERR2632423	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/003/ERR2632423/ERR2632423_2.fastq.gz	302	152	memory B cell	cell 55
Sample 56	ERS2544908	SAMEA4724771	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 56	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 56	sequencing assay	ERX2648918	SIN2772A56-40347369_1.fastq.gz	SIN2772A56-40347369_1.fastq.gz	ERR2632424	ERR2632424	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632424/ERR2632424_1.fastq.gz	300	151	memory B cell	cell 56
Sample 56	ERS2544908	SAMEA4724771	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 56	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 56	sequencing assay	ERX2648918	SIN2772A56-40347369_2.fastq.gz	SIN2772A56-40347369_2.fastq.gz	ERR2632424	ERR2632424	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/004/ERR2632424/ERR2632424_2.fastq.gz	302	152	memory B cell	cell 56
Sample 57	ERS2544909	SAMEA4724772	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 57	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 57	sequencing assay	ERX2648919	SIN2772A57-40341374_1.fastq.gz	SIN2772A57-40341374_1.fastq.gz	ERR2632425	ERR2632425	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632425/ERR2632425_1.fastq.gz	302	152	memory B cell	cell 57
Sample 57	ERS2544909	SAMEA4724772	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 57	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 57	sequencing assay	ERX2648919	SIN2772A57-40341374_2.fastq.gz	SIN2772A57-40341374_2.fastq.gz	ERR2632425	ERR2632425	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/005/ERR2632425/ERR2632425_2.fastq.gz	302	152	memory B cell	cell 57
Sample 58	ERS2544910	SAMEA4724773	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 58	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 58	sequencing assay	ERX2648920	SIN2772A58-40353324_1.fastq.gz	SIN2772A58-40353324_1.fastq.gz	ERR2632426	ERR2632426	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632426/ERR2632426_1.fastq.gz	302	152	memory B cell	cell 58
Sample 58	ERS2544910	SAMEA4724773	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 58	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 58	sequencing assay	ERX2648920	SIN2772A58-40353324_2.fastq.gz	SIN2772A58-40353324_2.fastq.gz	ERR2632426	ERR2632426	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/006/ERR2632426/ERR2632426_2.fastq.gz	300	151	memory B cell	cell 58
Sample 59	ERS2544911	SAMEA4724774	Homo sapiens	adult	A	33	year	EFO	UO_0000036	female	normal	blood	memory B cell	CD19+ IgD- CD27+ IgG+	OK	FACS	smart-seq2	none	polyA RNA	oligo-dT	cell	P-MTAB-75739	P-MTAB-75740	P-MTAB-75741	Sample 59	PAIRED	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	150	0	5'-3'-3'-5'	P-MTAB-75742	Garvan Institute	Sample 59	sequencing assay	ERX2648921	SIN2772A59-40336824_1.fastq.gz	SIN2772A59-40336824_1.fastq.gz	ERR2632427	ERR2632427	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR263/007/ERR2632427/ERR2632427_1.fastq.gz	300	151	memory B cell	cell 59
